<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.04.05	12:00:00	1287.597	1293.106	1284.390	1291.911	14510	0	233
2019.04.05	16:00:00	1291.928	1292.636	1291.178	1291.800	8241	0	231
2019.04.05	20:00:00	1291.798	1292.216	1291.153	1291.374	949	0	234
2019.04.07	20:00:00	1292.246	1293.615	1291.401	1291.755	2246	0	243
2019.04.08	00:00:00	1291.725	1296.633	1291.659	1296.034	7700	0	239
2019.04.08	04:00:00	1296.032	1297.931	1295.956	1297.121	7259	0	237
2019.04.08	08:00:00	1297.122	1298.298	1296.499	1298.267	8282	0	237
2019.04.08	12:00:00	1298.265	1303.639	1296.300	1297.579	11958	0	235
2019.04.08	16:00:00	1297.580	1298.310	1297.201	1297.907	7582	0	234
2019.04.08	20:00:00	1297.898	1298.495	1297.311	1297.977	2859	0	235
2019.04.09	00:00:00	1297.973	1299.975	1296.566	1299.450	6888	0	235
2019.04.09	04:00:00	1299.451	1300.796	1297.075	1300.261	7435	0	233
2019.04.09	08:00:00	1300.297	1302.848	1300.181	1301.694	9795	0	231
2019.04.09	12:00:00	1301.697	1306.112	1301.630	1305.848	12054	0	232
2019.04.09	16:00:00	1305.835	1306.112	1303.314	1304.234	8126	0	233
2019.04.09	20:00:00	1304.239	1305.110	1303.890	1304.616	3003	0	235
2019.04.10	00:00:00	1304.609	1304.768	1301.137	1302.615	7091	0	233
2019.04.10	04:00:00	1302.614	1305.302	1301.998	1303.300	7770	0	232
2019.04.10	08:00:00	1303.307	1304.874	1302.694	1303.571	8018	0	232
2019.04.10	12:00:00	1303.590	1309.003	1300.937	1308.200	12975	0	230
2019.04.10	16:00:00	1308.203	1310.529	1306.985	1308.006	9889	0	229
2019.04.10	20:00:00	1308.005	1309.146	1307.699	1308.043	3504	0	230
2019.04.11	00:00:00	1308.044	1308.315	1306.255	1306.584	6167	0	229
2019.04.11	04:00:00	1306.584	1308.177	1304.687	1305.248	7986	0	225
2019.04.11	08:00:00	1305.243	1305.243	1300.737	1300.913	9473	0	225
2019.04.11	12:00:00	1300.907	1300.934	1293.282	1294.890	13482	0	223
2019.04.11	16:00:00	1294.911	1295.012	1289.673	1291.402	10378	0	218
2019.04.11	20:00:00	1291.381	1292.955	1291.361	1292.195	3505	0	221
2019.04.12	00:00:00	1292.165	1293.968	1291.200	1291.849	7313	0	220
2019.04.12	04:00:00	1291.844	1294.290	1291.397	1292.177	7189	0	220
2019.04.12	08:00:00	1292.174	1295.691	1292.070	1292.436	10678	0	217
2019.04.12	12:00:00	1292.451	1295.142	1290.516	1291.346	12031	0	217
2019.04.12	16:00:00	1291.332	1292.454	1290.021	1290.207	7624	0	215
2019.04.12	20:00:00	1290.226	1291.512	1290.226	1290.433	1185	0	219
2019.04.14	20:00:00	1291.299	1291.907	1289.320	1289.732	2451	0	216
2019.04.15	00:00:00	1289.732	1290.324	1286.806	1289.126	8213	0	0
2019.04.15	04:00:00	1289.126	1289.458	1286.662	1286.973	8073	0	0
2019.04.15	08:00:00	1286.972	1287.600	1284.909	1285.709	9286	0	0
2019.04.15	12:00:00	1285.718	1289.334	1282.493	1288.619	12309	0	0
2019.04.15	16:00:00	1288.619	1290.005	1287.662	1287.819	7581	0	235
2019.04.15	20:00:00	1287.776	1288.660	1287.536	1288.357	2951	0	235
2019.04.16	00:00:00	1288.355	1288.360	1284.755	1285.202	7421	0	236
2019.04.16	04:00:00	1285.199	1287.335	1283.594	1284.872	7864	0	232
2019.04.16	08:00:00	1284.837	1285.379	1282.453	1284.556	9064	0	231
2019.04.16	12:00:00	1284.572	1284.747	1273.324	1275.639	13030	0	228
2019.04.16	16:00:00	1275.640	1276.888	1272.935	1276.305	8638	0	227
2019.04.16	20:00:00	1276.355	1277.227	1275.920	1276.587	3832	0	227
2019.04.17	00:00:00	1276.568	1277.944	1274.832	1276.772	7837	0	226
2019.04.17	04:00:00	1276.772	1279.720	1276.772	1278.831	7851	0	225
2019.04.17	08:00:00	1278.859	1279.305	1274.630	1275.642	9113	0	223
2019.04.17	12:00:00	1275.643	1277.768	1273.197	1274.140	11118	0	205
2019.04.17	16:00:00	1274.124	1274.629	1273.014	1274.156	7730	0	201
2019.04.17	20:00:00	1274.154	1274.539	1273.723	1274.169	3268	0	204
2019.04.18	00:00:00	1274.169	1274.756	1271.624	1272.545	7067	0	202
2019.04.18	04:00:00	1272.545	1276.084	1271.069	1275.231	7692	0	201
2019.04.18	08:00:00	1275.240	1277.605	1274.489	1276.280	9370	0	200
2019.04.18	12:00:00	1276.287	1276.872	1272.737	1273.810	12254	0	199
2019.04.18	16:00:00	1273.778	1275.071	1272.564	1275.071	7600	0	197
2019.04.18	20:00:00	1275.087	1275.717	1274.797	1275.593	992	0	236
2019.04.22	00:00:00	1276.818	1279.731	1275.380	1278.311	6528	0	236
2019.04.22	04:00:00	1278.299	1279.398	1276.413	1278.536	6048	0	237
2019.04.22	08:00:00	1278.535	1279.736	1277.903	1278.202	5105	0	237
2019.04.22	12:00:00	1278.202	1279.491	1273.856	1274.330	9547	0	234
2019.04.22	16:00:00	1274.283	1275.866	1273.789	1274.847	6923	0	233
2019.04.22	20:00:00	1274.843	1275.418	1274.242	1274.590	2531	0	236
2019.04.23	00:00:00	1274.590	1276.436	1273.499	1275.172	6777	0	236
2019.04.23	04:00:00	1275.171	1275.379	1271.927	1273.653	7208	0	235
2019.04.23	08:00:00	1273.656	1274.388	1271.437	1272.044	7342	0	233
2019.04.23	12:00:00	1272.041	1273.758	1266.285	1271.519	12090	0	231
2019.04.23	16:00:00	1271.519	1273.060	1270.297	1272.028	7675	0	230
2019.04.23	20:00:00	1272.026	1272.433	1271.289	1271.399	2921	0	230
2019.04.24	00:00:00	1271.414	1272.023	1268.690	1269.629	7204	0	229
2019.04.24	04:00:00	1269.631	1272.349	1269.211	1272.295	7229	0	228
2019.04.24	08:00:00	1272.300	1274.084	1271.264	1273.880	8336	0	228
