<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.10.01	2635.659	2790.091	2602.260	2746.691	4264942	0	159
2024.11.01	2746.672	2762.250	2536.747	2655.162	4437388	0	159
2024.12.01	2649.036	2726.206	2583.297	2624.381	3271697	0	64
2025.01.01	2625.179	2817.244	2614.426	2799.348	4588228	0	159
2025.02.01	2801.018	2956.181	2772.154	2858.242	5126717	0	159
2025.03.01	2873.619	3128.165	2858.830	3120.581	4386286	0	159
2025.04.01	3120.569	3500.033	2956.302	3272.887	7870391	0	159
2025.05.01	3272.922	3435.016	3120.649	3289.665	6579810	0	159
2025.06.01	3303.113	3451.259	3247.921	3312.441	5150867	0	159
2025.07.01	3312.446	3438.921	3268.034	3288.651	4146560	0	160
2025.08.01	3288.607	3453.924	3281.590	3447.952	3620722	0	160
2025.09.01	3447.912	3871.698	3437.028	3862.927	5227817	0	160
2025.10.01	3862.940	4381.617	3819.335	4001.621	12466488	0	160
2025.11.01	3990.719	4245.332	3928.810	4221.851	8124934	0	160
2025.12.01	4223.116	4550.224	4163.566	4318.855	8973454	0	160
2026.01.01	4328.321	5595.321	4309.669	4891.544	13430275	0	160
2026.02.01	4793.519	5281.384	4402.065	5279.159	8010093	0	160
2026.03.01	5319.152	5419.091	4098.363	4696.441	12310693	0	160
2026.04.01	4696.383	4800.345	4553.765	4675.333	1035472	0	280
